days;alive;dead;new;alive_theo;stadeC_theo;stadeE_theo;stadeF_theo;dead_theo
2018-08-28;139;  0; 1;131;16;15;100;  8
2018-08-29;139;  0; 0;130;14;17; 99;  9
2018-08-30;139;  0; 0;130;10;21; 99;  9
2018-08-31;139;  0; 0;130; 8;23; 99;  9
2018-09-01;145;  0; 6;134;13;24; 97; 11
2018-09-02;147;  0; 2;136;10;29; 97; 11
2018-09-03;149;  0; 2;135;11;22;102; 14
2018-09-04;160;  0;11;146;21;21;104; 14
2018-09-05;163;  0; 3;149;24;19;106; 14
2018-09-06;104; 74;15;164;39;16;109; 14
2018-09-07;112; 74; 8;163;47;14;102; 23
2018-09-08;127; 74;15;177;56;16;105; 24
2018-09-09;130; 74; 3;178;57;16;105; 26
2018-09-10;134; 74; 4;181;59;17;105; 27
2018-09-11;143; 74; 9;188;57;23;108; 29
2018-09-12;147; 74; 4;190;58;25;107; 31
2018-09-13;131; 97; 7;195;50;39;106; 33
2018-09-14;131; 97; 0;192;42;47;103; 36
2018-09-15;131; 97; 0;190;27;62;101; 38
2018-09-16;131; 97; 0;186;24;65; 97; 42
2018-09-17;133; 97; 2;186;22;63;101; 44
2018-09-18;133; 97; 0;181;13;70; 98; 49
2018-09-19;133; 97; 0;178; 9;72; 97; 52
2018-09-20;118;114; 2;179; 4;68;107; 53
2018-09-21;118;114; 0;161; 4;65; 92; 71
2018-09-22;118;114; 0;159; 4;50;105; 73
2018-09-23;118;114; 0;151; 4;42;105; 81
2018-09-24;118;114; 0;150; 2;29;119; 82
2018-09-25;118;114; 0;148; 2;26;120; 84
2018-09-26; 97;138; 3;136; 5;22;109; 99
2018-09-27; 97;138; 0;134; 3;15;116;101
2018-09-28; 97;138; 0;133; 3;11;119;102
2018-09-29; 97;138; 0;130; 3; 4;123;105
2018-09-30; 97;138; 0;128; 3; 4;121;107
2018-10-01; 97;138; 0;127; 3; 4;120;108
2018-10-02; 97;138; 0;127; 3; 4;120;108
2018-10-03; 66;169; 0;127; 0; 5;122;108
